time,A,B,C
0,1.E-15,2.E-15,1.E-15
0.2,1.E-15,2.0487705755040757E-15,9.512294244959256E-16
0.4,1.E-15,2.0951625819686476E-15,9.048374180313542E-16
0.6000000000000001,1.E-15,2.1392920235784527E-15,8.6070797642154915E-16
0.8,1.E-15,2.1812692469238237E-15,8.187307530761779E-16
1.,1.E-15,2.2211992169285358E-15,7.788007830714662E-16
1.2000000000000002,1.E-15,2.2591817793167493E-15,7.408182206832541E-16
1.4000000000000001,1.E-15,2.2953119102792866E-15,7.046880897207164E-16
1.6,1.E-15,2.329679953963113E-15,6.7032004603689E-16
1.8,1.E-15,2.362371848378222E-15,6.376281516217807E-16
2.,1.E-15,2.3934693402884954E-15,6.065306597115064E-16
2.2,1.E-15,2.423050189621322E-15,5.769498103786797E-16
2.4000000000000004,1.E-15,2.451188363907868E-15,5.48811636092134E-16
2.6,1.E-15,2.4779542232403933E-15,5.22045776759609E-16
2.8000000000000003,1.E-15,2.503414696209094E-15,4.965853037909081E-16
3.,1.E-15,2.5276334472584088E-15,4.723665527415928E-16
3.2,1.E-15,2.5506710358812644E-15,4.493289641187375E-16
3.4000000000000004,1.E-15,2.572585068049325E-15,4.274149319506765E-16
3.6,1.E-15,2.5934303402577827E-15,4.0656965974221863E-16
3.8000000000000003,1.E-15,2.6132589765446247E-15,3.867410234553767E-16
4.,1.E-15,2.6321205588284376E-15,3.6787944117156383E-16
4.2,1.E-15,2.6500622508892453E-15,3.4993774911075574E-16
4.4,1.E-15,2.6671289163024967E-15,3.328710836975049E-16
4.6000000000000005,1.E-15,2.6833632306213432E-15,3.1663676937865853E-16
4.800000000000001,1.E-15,2.6988057880877323E-15,3.0119421191226983E-16
5.,1.E-15,2.7134952031391336E-15,2.865047968608684E-16
5.2,1.E-15,2.7274682069647323E-15,2.7253179303526987E-16
5.4,1.E-15,2.740759739352517E-15,2.592402606474852E-16
5.6000000000000005,1.E-15,2.7534030360569095E-15,2.4659696394309245E-16
5.800000000000001,1.E-15,2.7654297119051477E-15,2.345702880948538E-16
6.,1.E-15,2.776869839851003E-15,2.231301601489988E-16
6.2,1.E-15,2.7877520261730658E-15,2.1224797382693585E-16
6.4,1.E-15,2.798103482005332E-15,2.0189651799466928E-16
6.6000000000000005,1.E-15,2.807950091379195E-15,1.9204990862080628E-16
6.800000000000001,1.E-15,2.8173164759469905E-15,1.8268352405301022E-16
7.,1.E-15,2.826226056548944E-15,1.7377394345105745E-16
7.2,1.E-15,2.8347011117774534E-15,1.652988882225472E-16
7.4,1.E-15,2.842762833685174E-15,1.5723716631482616E-16
7.6000000000000005,1.E-15,2.850431380776171E-15,1.4956861922382931E-16
7.800000000000001,1.E-15,2.85772592841253E-15,1.4227407158747016E-16
8.,1.E-15,2.8646647167627375E-15,1.3533528323726256E-16
8.200000000000001,1.E-15,2.8712650964118065E-15,1.2873490358819374E-16
8.4,1.E-15,2.8775435717467794E-15,1.224564282532206E-16
8.6,1.E-15,2.8835158422262845E-15,1.164841577737156E-16
8.8,1.E-15,2.889196841637349E-15,1.1080315836265136E-16
9.,1.E-15,2.8946007754376375E-15,1.0539922456236191E-16
9.200000000000001,1.E-15,2.899741156276494E-15,1.0025884372350591E-16
9.4,1.E-15,2.9046308377835895E-15,9.536916221641052E-17
9.600000000000001,1.E-15,2.9092820467096933E-15,9.071795329030671E-17
9.8,1.E-15,2.9137064134998587E-15,8.629358650014131E-17
10.,1.E-15,2.9179150013752626E-15,8.208499862473744E-17